"id","SSA_trend_cor","STL_trend_cor","TRAD_trend_cor","SSA_trend_rmse","STL_trend_rmse","TRAD_trend_rmse","SSA_seas_cor","STL_seas_cor","TRAD_seas_cor","SSA_seas_rmse","STL_seas_rmse","TRAD_seas_rmse","SSA_resid_cor","STL_resid_cor","TRAD_resid_cor","SSA_resid_rmse","STL_resid_rmse","TRAD_resid_rmse","SSA_acf_rmse","STL_acf_rmse","TRAD_acf_rmse","SSA_delta_tau","STL_delta_tau","TRAD_delta_tau"
1,0.985564358145337,0.99247927746683,0.405184889845747,0.413915392211075,0.415684158976753,0.419271502290544,0.984260566267361,0.958109166801831,0.95822690447089,0.416909656200726,0.419126603572368,0.419161047936864,0.837469960543997,0.749837645359995,0.591088123463616,0.0275748975971231,0.0413700608174153,0.0650601164201452,0.045826341445919,0.135488912375768,0.25389736135604,-0.84232446717255,2.82915271393156,NA
2,0.96510302045173,0.991779012161139,0.405184889845745,0.422053725376352,0.422133879324289,0.426006685657345,0.980027650157075,0.957982486617632,0.958376544530928,0.418026220460265,0.419195022316467,0.419182393324523,0.717696169569974,0.737752113204527,0.599231674373566,0.035257516086321,0.0421961431657484,0.0656891620960297,0.0672332885823453,0.134764995621037,0.261062860123304,-1.46132473313857,2.1446621736225,NA
3,0.985848096986181,0.988589983841691,0.405184889845747,0.416470451909409,0.417786934406791,0.421537715731775,0.979026731955537,0.958521301848398,0.95831442657725,0.41711897125995,0.419121921708233,0.419152478186422,0.796112106423214,0.734569988133707,0.606343635703248,0.0303668139300794,0.0411321323992036,0.0647810185785234,0.0594953144190441,0.160895885529313,0.274130763584244,-1.15222631219194,2.95128294034968,NA
4,0.97988182815525,0.987459044763648,0.405184889845746,0.410512102812258,0.413685169191836,0.416886303204351,0.978471341734284,0.958632368274418,0.958671859487706,0.416944285868917,0.419062069116356,0.419140589108187,0.771461030997906,0.743629981913142,0.560515876343926,0.0323871986910587,0.0420265703159399,0.0649975828061895,0.0561407118968965,0.145270079376519,0.233886442505154,-1.0627405401731,2.77112148763876,NA
5,0.988454979167041,0.983932075566664,0.405184889845746,0.416088858053293,0.417966622009735,0.421721202066329,0.978748168091653,0.95973399552188,0.958972596384205,0.417396565978257,0.41902766879804,0.419113904285643,0.777087269390381,0.755766017651073,0.578466268996424,0.0315823058022552,0.0413581488427231,0.0646347706966098,0.0582026016020687,0.175881310414262,0.235864929800062,-1.21515072456883,2.70872522193447,NA
6,0.976805719283246,0.989288039748331,0.405184889845745,0.410655467739388,0.412947411529339,0.416783306654706,0.982712762509939,0.9601586369438,0.959626817280718,0.417079441271934,0.419003518311435,0.41908095590823,0.796554917904131,0.788665852404889,0.626976728306746,0.0308678870707565,0.0407946322479139,0.0644225130206058,0.0585891073128224,0.168819842723616,0.240558386806595,-0.991360392952775,3.48393758937722,10.1824587880033
7,0.971071616477113,0.986013295330793,0.405184889845745,0.416282992393002,0.417782940822806,0.420941697012641,0.980783225251229,0.958935980192369,0.958565061222467,0.417689850040191,0.419101933397537,0.419140528585802,0.738808982833229,0.749536504788535,0.564985147355644,0.0337760961605573,0.041966196323325,0.0653191312070067,0.060429594292076,0.141684392454473,0.223635654372246,-1.39014059478142,2.15523957308002,NA
8,0.910837228686837,0.966961318994447,0.405184889845745,0.410334661092892,0.414284259363229,0.417517983860053,0.986043974887968,0.958545491607567,0.958558479579149,0.416766544246349,0.419123059047946,0.419130325801254,0.747583448659182,0.740917674441018,0.59255404549689,0.033858828091293,0.042597679119582,0.0646992669106189,0.069930812063906,0.179302748591947,0.244735908294358,-0.881199187246639,3.1622761463146,NA
9,0.98338555958633,0.985285646802728,0.405184889845746,0.415619709828387,0.417371249524123,0.420984871249994,0.975651941414108,0.95879909530508,0.958835177663322,0.417329380180358,0.41906907073639,0.419135969005232,0.744567593977441,0.75248707361655,0.618991155787539,0.0334292662638316,0.0413146723008764,0.0646665443618893,0.058234279128541,0.16572075406969,0.257673650501512,-1.22670728863017,2.49634262422915,NA
10,0.985621179342274,0.988831252665538,0.405184889845744,0.418543221321538,0.417409124913485,0.421419330168227,0.977778224313154,0.960230605194132,0.959792675082651,0.41821269610862,0.419014257155743,0.419073827565798,0.716623408165688,0.755605465559069,0.652491240632332,0.0349935651107888,0.0404883112838168,0.0642743267918977,0.0650824465646927,0.149791327074493,0.269020775988777,-1.77200940359723,2.41727175152299,NA
11,0.981746985440238,0.975173381592781,0.405184889845747,0.415412713933565,0.41686598738749,0.42082374929075,0.97556579114992,0.959006476123458,0.95871804751817,0.417675536322143,0.419092102558418,0.419134926285784,0.754828193828997,0.734067512629563,0.587097703954688,0.0328515294976803,0.0420902945930052,0.0647190820413382,0.0588068139236987,0.176367704751391,0.237547707385009,-1.22778011869415,2.19925927709086,NA
12,0.990963306789285,0.976981431604888,0.405184889845748,0.414514750598106,0.414844104765891,0.418381406816459,0.977182061529832,0.958302264863709,0.958603707715943,0.418528690353339,0.419152898963024,0.419137732188209,0.748472137453004,0.737298962554018,0.591190476049131,0.0333767784248356,0.0421657542245917,0.0647809300098,0.0583767665035989,0.147762028646458,0.248183529983733,-1.38286304043936,2.35437330553994,NA
13,0.984602533226394,0.990973380033852,0.405184889845746,0.414707883528837,0.416018497500835,0.41978640730374,0.974748314354167,0.959418783730981,0.958594490781372,0.417571750719087,0.41904839727556,0.419135371061131,0.733332764234938,0.750836364564148,0.600725939401362,0.034113210168816,0.0407391747135548,0.064675489698934,0.06170261076253,0.13350875801959,0.260209541112684,-1.36092300429464,2.13177541982899,NA
14,0.964941489014167,0.979825290038549,0.405184889845747,0.413191546757949,0.41482771798627,0.418031967711616,0.978971092471331,0.957996158157247,0.958037983574381,0.4174420104499,0.419123916232926,0.419171300686597,0.726005850063207,0.761713740473791,0.588875363642243,0.0346454292967276,0.0424462366196249,0.0649184037304756,0.0669903238918212,0.187673271084974,0.238423400351712,-1.62437812975456,2.98433456944832,7.96232248407581
15,0.979768486124349,0.985643112350472,0.405184889845744,0.41738700005127,0.419237887707937,0.422781657739312,0.978217439146078,0.958382042648439,0.958385362175795,0.417694103037774,0.419120680400204,0.419137954867257,0.749672757800212,0.748185199749091,0.576790574663077,0.0332900893480773,0.0418747975539051,0.0648515799097305,0.0738448445103105,0.154322118800044,0.242812572013703,-1.60586383281235,2.69203518526084,8.98802505763421
