"timeseries","residual.SSA","residual.STL","residual.Trad","seasonal.SSA","seasonal.STL","seasonal.Trad","trend.SSA","trend.STL","trend.Trad"
0.0311672724783421,0.000214182926207023,0.0101620299072646,0.00671483553672481,-0.0124856242253315,-0.0124668150882348,-0.0126901947418274,0.0434387137774666,0.0334720576593122,0.0371426316834447
0.0310624241828918,0.000827523051858212,0.0103224790441242,0.0069330874187647,-0.0131376051815073,-0.0127364443675505,-0.0130199252581162,0.0433725063125409,0.0334763895063181,0.0371492620222433
0.0301635339856148,0.000464033766577639,0.00844408055960789,0.00506756262013305,-0.0135756485120529,-0.0117612679273172,-0.0120599209955601,0.04327514873109,0.0334807213533241,0.0371558923610419
0.0295301750302315,0.0001194903964626,0.00691643410289178,0.0035370419211866,-0.0137381626470712,-0.0108713122729903,-0.0111693895907956,0.0431488472808401,0.03348505320033,0.0371625226998404
0.0302465930581093,0.000895830671239793,0.0069854002277634,0.00365161670665238,-0.0136422179519645,-0.01022819221699,-0.0105741766871821,0.042992980338834,0.0334893850473359,0.037169153038639
0.0296642556786537,0.000215252414852155,0.00572532292178436,0.00264647863855688,-0.0133559989379644,-0.00955478413747246,-0.0101580063373407,0.042805002201766,0.0334937168943418,0.0371757833774376
0.0287976767867804,-0.000869351758220624,0.00450028597632171,0.00155798744298701,-0.0129223582995939,-0.00920065793088909,-0.00994272437244278,0.0425893868445948,0.0334980487413477,0.0371824137162361
0.0285990573465824,-0.00133836610833755,0.00324917207680715,0.000431068420266221,-0.0124139974594395,-0.0081524953185784,-0.0090210551287185,0.0423514209143594,0.0335023805883537,0.0371890440550347
0.0297974832355976,-0.000358405118124561,0.00303132094007329,0.000320002291369588,-0.0119395865845832,-0.00674055013983525,-0.00771819344960523,0.0420954749383053,0.0335067124353596,0.0371956743938333
0.0311978682875633,0.000989585775830627,0.00349820551797934,0.000766406095402285,-0.0116163282509068,-0.00581138151278151,-0.00677084254047078,0.0418246107626395,0.0335110442823655,0.0372023047326318
0.030866127461195,0.000818102764427921,0.00261131404856388,-0.000149645785418652,-0.011494083652268,-0.00526056271674029,-0.00619316182481674,0.0415421083490351,0.0335153761293714,0.0372089350714304
0.029669277369976,-9.02612337081651e-05,0.00136694603509832,-0.00143390171503384,-0.0114962258663551,-0.0052173766414996,-0.00611238632521907,0.0412557644700393,0.0335197079763773,0.037215565410229
0.0299913324415684,0.000459124589953794,0.000915147449945967,-0.00199891252635754,-0.0114422823500924,-0.00444785483176083,-0.0052319507811016,0.040974490201707,0.0335240398233832,0.0372221957490275
0.0302351582795382,0.000630978059041824,0.000466920684437967,-0.00259081402176241,-0.011100641382972,-0.00376013407528897,-0.00440285378652552,0.0407048216034684,0.0335283716703892,0.0372288260878261
0.0327052883803844,0.0024405092658735,0.000685082654262058,-0.00266909500452628,-0.0101880279913915,-0.00151249779127269,-0.00186107304171392,0.0404528071059024,0.0335327035173951,0.0372354564266246
0.0346565917134285,0.00288534416281012,0.000478399389628445,-0.0032054493171725,-0.00845014273699143,0.000641156959399056,0.000619954265177782,0.0402213902876098,0.033537035364401,0.0372420867654232
0.0340456962585449,-0.000293359657397047,-0.00211840922538064,-0.00580895879403977,-0.00567538108444421,0.00262273827251866,0.00260593794836292,0.0400144370003862,0.0335413672114069,0.0372487171042218
0.0376080647110939,-0.000493859448898278,-0.00162550371534281,-0.00518670057515135,-0.0017360465620189,0.00568786936802389,0.00553941784322492,0.0398379707220111,0.0335456990584128,0.0372553474430203
0.0403558015823364,-0.00261072099407553,-0.000747940522464061,-0.00436681773954211,0.00327423761054587,0.00755371119938174,0.00746064154005963,0.0396922849658661,0.0335500309054187,0.0372619777818189
0.0434651300311089,-0.00520438124062775,0.000296963886185685,-0.00324549686591662,0.00909325146665534,0.00961380339249851,0.00944201877640801,0.0395762598050813,0.0335543627524247,0.0372686081206175
0.0483364872634411,-0.00644509328384699,0.00235585039091278,-0.0012304339842374,0.0152935269845589,0.0124219422730977,0.0122916827882625,0.0394880535627292,0.0335586945994306,0.037275238459416
0.0610998645424843,0.000353346481756112,0.0133163110963427,0.00968843965186019,0.0213228967911676,0.0142205269997051,0.0141295560924095,0.0394236212695606,0.0335630264464365,0.0372818687982146
0.063892126083374,-0.00201327247718259,0.0130957681668272,0.00982323436847075,0.0265314249970268,0.0172289996231044,0.0167803925778901,0.0393739735635299,0.0335673582934424,0.0372884991370132
0.0697953924536705,8.89321892868361e-06,0.0177648570870503,0.0146910135329678,0.0304492390034236,0.0184588452261719,0.017809249444891,0.0393372602313183,0.0335716901404483,0.0372951294758117
0.0770550072193146,0.00502410726868432,0.0231186777864139,0.0202213692666281,0.0327222797904922,0.0203603074454464,0.0195318781380762,0.0393086201601381,0.0335760219874543,0.0373017598146103
0.080793023109436,0.00832929430461609,0.0265813494792093,0.023731798175641,0.0331811482242823,0.0206313197957665,0.0197528347803862,0.0392825805805376,0.0335803538344602,0.0373083901534089
0.0778957158327103,0.00674288522151437,0.0247079917117772,0.0218176111981056,0.0318973943106104,0.019603038439467,0.0187630841423973,0.0392554363005855,0.0335846856814661,0.0373150204922074
0.0693961381912231,0.000994779092263275,0.0179466300946387,0.0146305718646949,0.0291740581257148,0.0178604905681125,0.0174439154955222,0.0392273009732451,0.033589017528472,0.037321650831006
0.0581351071596146,-0.00652897744570457,0.00827569532082099,0.00438214273776387,0.0254635409949775,0.0162660624633157,0.0164246832520461,0.0392005436103417,0.0335933493754779,0.0373282811698046
0.055533017963171,-0.00490028874626798,0.00750786777015298,0.00332665920844515,0.0212557567928375,0.0144274689705342,0.0148714472461227,0.0391775499166015,0.0335976812224838,0.0373349115086031
0.0508437752723694,-0.00523011583483341,0.00463671845498952,0.000335047350820841,0.0169192647393909,0.0126050437478901,0.0131671860741469,0.0391546263678119,0.0336020130694898,0.0373415418474017
0.0493604764342308,-0.00250989382523169,0.00601369010643318,0.00166006416662857,0.012741813737472,0.00974044141130195,0.010352240081402,0.0391285565219905,0.0336063449164957,0.0373481721862002
0.0509337186813354,0.0029648007612267,0.0112865201743788,0.00653233971983053,0.0088749398873303,0.00603652174345504,0.0070465764365061,0.0390939780327785,0.0336106767635016,0.0373548025249988
0.0458709374070168,0.00147579672685624,0.0103764786132113,0.00575055094567189,0.00535133747098722,0.00187945018329796,0.00275895359754748,0.0390438032091733,0.0336150086105075,0.0373614328637974
0.0410835668444633,-7.21151200543196e-05,0.00961004679132785,0.00494285715065432,0.00218047032522535,-0.00214582040437792,-0.00122735350878691,0.0389752116392923,0.0336193404575134,0.0373680632025959
0.036794401705265,-0.00142568667797664,0.00814679797604033,0.00327281137249899,-0.000665591177091086,-0.00497606857529463,-0.00385310320862845,0.0388856795603328,0.0336236723045193,0.0373746935413945
0.0356525182723999,0.000101712630740697,0.00946331705946173,0.00499419861564029,-0.00322206796301341,-0.00743880293858709,-0.00672300422343346,0.0387728736046726,0.0336280041515253,0.0373813238801931
0.0320216231048107,-0.00108853135944389,0.00737135587586461,0.00297853870610687,-0.00552380028125711,-0.00898206876958507,-0.0083448698202878,0.0386339547455117,0.0336323359985312,0.0373879542189916
0.0289248395711184,-0.00198417087305782,0.00474052878614774,0.000174666083233405,-0.00755918843052876,-0.00945796803533128,-0.00864441106990525,0.0384681988747049,0.0336422788203019,0.0373945845577902
0.0283078718930483,-0.000677161418928155,0.00463619284243896,-1.3846691676242e-07,-0.00929041691499608,-0.00998054259146327,-0.00909320453662371,0.0382754502269725,0.0336522216420726,0.0374012148965888
0.0260616969317198,-0.00131874682276641,0.00321321576572081,-0.00133728299077579,-0.010675038528095,-0.0108136832978443,-0.0100088653128918,0.0380554822825812,0.0336621644638433,0.0374078452353873
0.0259088966995478,-0.000243193428289379,0.00275791653144657,-0.00185003065170294,-0.0116575509213233,-0.0105211271175128,-0.00965554822293519,0.0378096410491605,0.033672107285614,0.0374144755741859
0.0244473200291395,-0.000892111425285658,0.00162142946686195,-0.00303647292970456,-0.0121996956708594,-0.0108561595451071,-0.00993731295414038,0.0375391271252845,0.0336820501073847,0.0374211059129845
0.0239055901765823,-0.00106528996201096,0.000890705404005404,-0.00363721883116998,-0.0122756725337343,-0.0106771081565785,-0.00988492724403071,0.0372465526723276,0.0336919929291554,0.037427736251783
